datedata,date,estimate
412,2021-02-16,308165.34068967355
413,2021-02-17,308165.6500929695
414,2021-02-18,308165.94905462937
415,2021-02-19,308166.2379216454
416,2021-02-20,308166.5170296635
417,2021-02-21,308166.7867033481
418,2021-02-22,308167.0472567353
419,2021-02-23,308167.29899357515
420,2021-02-24,308167.5422076626
421,2021-02-25,308167.77718315856
422,2021-02-26,308168.0041949004
423,2021-02-27,308168.22350870277
424,2021-02-28,308168.4353816489
425,2021-03-01,308168.6400623725
426,2021-03-02,308168.83779133105
427,2021-03-03,308169.02880107006
428,2021-03-04,308169.21331647906
429,2021-03-05,308169.39155503944
430,2021-03-06,308169.56372706464
431,2021-03-07,308169.73003593215
432,2021-03-08,308169.89067830885
433,2021-03-09,308170.04584436846
434,2021-03-10,308170.1957180025
435,2021-03-11,308170.34047702444
436,2021-03-12,308170.4802933672
437,2021-03-13,308170.6153332744
438,2021-03-14,308170.7457574858
439,2021-03-15,308170.87172141613
440,2021-03-16,308170.99337532884
441,2021-03-17,308171.110864504
442,2021-03-18,308171.2243294009
443,2021-03-19,308171.3339058154
444,2021-03-20,308171.439725032
445,2021-03-21,308171.54191397177
446,2021-03-22,308171.6405953345
447,2021-03-23,308171.7358877372
448,2021-03-24,308171.82790584746
449,2021-03-25,308171.916760513
450,2021-03-26,308172.0025588867
451,2021-03-27,308172.0854045481
452,2021-03-28,308172.1653976201
453,2021-03-29,308172.242634883
454,2021-03-30,308172.3172098838
455,2021-03-31,308172.389213043
456,2021-04-01,308172.4587317569
457,2021-04-02,308172.5258504975
458,2021-04-03,308172.59065090853
459,2021-04-04,308172.65321189887
460,2021-04-05,308172.7136097324
461,2021-04-06,308172.7719181155
462,2021-04-07,308172.8282082813
463,2021-04-08,308172.88254907145
464,2021-04-09,308172.93500701495
465,2021-04-10,308172.9856464048
466,2021-04-11,308173.0345293719
467,2021-04-12,308173.0817159565
468,2021-04-13,308173.1272641776
469,2021-04-14,308173.17123009975
470,2021-04-15,308173.213667898
471,2021-04-16,308173.2546299204
472,2021-04-17,308173.2941667489
473,2021-04-18,308173.3323272576
474,2021-04-19,308173.36915866996
475,2021-04-20,308173.40470661334
476,2021-04-21,308173.4390151722
477,2021-04-22,308173.4721269395
478,2021-04-23,308173.50408306636
479,2021-04-24,308173.53492331004
480,2021-04-25,308173.5646860804
481,2021-04-26,308173.59340848494
482,2021-04-27,308173.6211263723
483,2021-04-28,308173.6478743741
484,2021-04-29,308173.67368594586
485,2021-04-30,308173.6985934061
486,2021-05-01,308173.72262797464
487,2021-05-02,308173.745819809
488,2021-05-03,308173.7681980403
489,2021-05-04,308173.78979080764
